wallet,timestamp,net_worth,holdings_pnl,jup_holdings,status
61rVn8zeoikzFuT2cuXAd3Qv9RxhMDvG52xL4LHLv7Nu,2025-10-04 17:05:22,$0.00,"+$2,232,433.87",0.00,success
9QEHSyTqyRNDSvbYtFjqR2e5UXNfvjpAcEdTqAjSwVmH,2025-10-04 17:05:33,$0.00,$0.00,0.00,success
